"title","shortDescription","ritualPacks","journeys","loveTypes","timeTaken","relationalNeeds","lifeContexts","emotionalStates","ritualMode","depth","rhythm","steps","longDescription","semanticSummary"
"Gentle Playlist ","Create a calming playlist together and make it your shared recovery soundtrack.","Finding Calm in Chaos","","GRACE","MEDIUM","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Silent Truce"," Sit together in silence for one minute; hold hands if possible, focusing only on breath. ","From Hurt to Healing","","GRACE","MOMENT","TRUST_AND_SAFETY","","","","","","","",""
"Reset Phrase ","Agree on a gentle word (e.g., “pause”) to signal a break when emotions rise.","","","GRACE","SHORT","COMMUNICATION","","","","","","","",""
"Impact Words","Each completes: “What hurt me was…” and the other responds only with, “I hear that.” ","","","BELONG","MEDIUM","UNDERSTANDING","","","","","","","",""
"Emotion Mirror ","Reflect what you hear your partner feeling in one sentence, then ask, “Did I get that right?” ","","","CARE, BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"Letter of Understanding ","Write a brief note expressing what you now understand about the other’s experience.","","","GRACE","LONG","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Bridge Words","Say: “I regret…” and “I wish to make space for…” ","","","CARE","SHORT","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Forgiveness Candle","Light a candle together, silently acknowledging mutual forgiveness. ","","","GRACE","MOMENT","TRUST_AND_SAFETY","","","","","","","",""
"Warm Hug Reset ","A 20-second hug held until both bodies soften.","","","BELONG","SHORT","CONNECTION","","","","","","","",""
"One New Promise","Each names one small way they’ll show care differently. ","","","GRACE","MEDIUM","TRUST_AND_SAFETY","","","","","","","",""
"Reunion Song ","Choose a “repair song” that symbolizes reconnection; play it after conflict next time. ","","","BELONG","MEDIUM","CONNECTION","","","","","","","",""
"Love Gratitude ","End with: “One thing I appreciate about you, even when we disagree…”","From Hurt to Healing","","GRACE","SHORT","UNDERSTANDING","","","","","","","",""
"Shared Smile ","Look into each other’s eyes without words until you both smile. ","Softening the Distance","","SPARK","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Three-Word Check-In ","Each shares three words that describe your current mood.","","","BELONG","SHORT","COMMUNICATION","","","","","","","",""
"Open Heart Minutes ","Each speaks for two minutes uninterrupted about what’s on their heart. ","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"What I Meant","Each shares: “What I was trying to express (but maybe didn’t well) was…” ","","","GRACE","MEDIUM","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Gentle Questions ","Take turns asking: “Is there something you wish I understood better?”","","","BELONG","SHORT","COMMUNICATION","","","","","","","",""
"Small Laughter","Watch a short funny clip together and let the laughter ease the heart.","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Weekly “I Hear You” Check-In ","Set a weekly ritual to ask: “Is there anything we didn’t get to talk about this week?” ","","","BUILD, BELONG","MEDIUM","COMMUNICATION","","","","","","","",""
"Evening Gratitude Whisper ","Whisper one thing you appreciated today before sleep.","Softening the Distance","","GRACE","MOMENT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Shared Silence Minute","Sit quietly for one minute, focusing on breathing together before talking. ","The Art of Listening","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Eye Contact Grounding ","Look into each other’s eyes for 30 seconds without words. ","","","BELONG","SHORT","CONNECTION","","","","","","","",""
"Palm Rest ","Rest your palms together, noticing texture, feeling the warmth of shared presence.","","","CARE","MOMENT","TRUST_AND_SAFETY, INTIMACY","","","","","","","",""
"Ask Before You Share ","Before sharing, ask, “Is this a good moment to talk?” ","","","GRACE","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Soft Start Words","Practice opening with “I feel…” or “What I hope you can understand is…” ","","","BELONG, GROW","SHORT","COMMUNICATION","","","","","","","",""
"Tiny Truths ","Each shares one small truth about how you’re feeling today.","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"Five-Minute Focus ","One partner speaks for 5 minutes without interruption; the listener summarizes only after. ","","","BELONG, GROW","MEDIUM","COMMUNICATION","","","","","","","",""
"Curiosity Rounds","Take turns asking open questions like, “What’s been on your mind most lately?”","","","CARE, BELONG","MEDIUM","UNDERSTANDING, CONNECTION","","","","","","","",""
"Feeling Wheel Share ","Use a feeling wheel or list of emotions; each names what they’ve felt most this week.","","","GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"What I See in You ","Reflect back something you’ve noticed or admired lately. ","","","BELONG","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Heart Mapping ","Draw or write 3–4 things occupying your heart, then share gently.","","","CARE, BELONG","LONG","UNDERSTANDING, CONNECTION","","","","","","","",""
"Weekly Listening Tea ","Pick one evening a week for a calm “listening tea” ritual — just checking in.","","","BELONG, BUILD","MEDIUM","COMMUNICATION","","","","","","","",""
"One Word Daily","Share one word each night that sums up your emotional state. ","","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Bridge Phrase","Create a phrase like “Let’s listen again” to use in future conflicts.","The Art of Listening","","BELONG","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Shake It Off Together ","Each shakes off stress for 10 seconds, then smile at each other. ","Conversations That Spark","","SPARK","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Mood Music Arrival ","Play a song that fits your current mood before sitting down to talk. ","","","CARE","SHORT","CONNECTION","","","","","","","",""
"The Word of the Day ","Each picks one word to describe how you feel stepping into this chat.","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"3 Curious Questions ","Ask fun but meaningful questions like “What’s something small that’s made you smile this week?” ","","","BELONG, GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"If I Weren’t Me… ","Complete the sentence “If I weren’t me today, I’d be…” to open imagination. ","","","SPARK","MEDIUM","PLAY_AND_JOY","","","","","","","",""
"Emotion Charades","Act out a recent emotion without words; partner guesses. ","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Tone Talk","Say a simple sentence like “I’m here” in three different tones and discuss how it felt. ","","","BELONG","MEDIUM","UNDERSTANDING","","","","","","","",""
"Draw the Feeling","Each draws your current emotional state and explain it to your partner.","","","BELONG, GROW","MEDIUM","COMMUNICATION","","","","","","","",""
"Our Alternate Universe","Imagine your life together in a parallel universe — what’s the same, what’s different? ","","","SPARK","LONG","PLAY_AND_JOY","","","","","","","",""
"The 10-Minute Adventure ","Plan a tiny adventure you can do this week (walk, sunset, drive). ","","","BELONG, SPARK","MEDIUM","CONNECTION","","","","","","","",""
"Dream Swap ","Share one dream or creative wish and what it means to you.","","","BELONG, GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"Nightly Curiosity Card ","Each night, ask one small “curiosity” question from a jar. ","","","BELONG, SPARK","SHORT","COMMUNICATION","","","","","","","",""
"Playful Check-In ","Text your partner one emoji that sums up your mood during the day. ","","","SPARK","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Gratitude Spark","End by naming one thing your partner said today that made you smile.","Conversations That Spark","","CARE, GRACE, SPARK","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Unplug Moment","Both partners place phones in another room, symbolically creating a small sanctuary. ","Finding Our Rhythm Again","","SELF, BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Shared Silence","Sit quietly for 3 minutes, simply noticing being together.","","","GRACE","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Touchpoint","A brief physical gesture (holding hands, palm on heart) to anchor togetherness.","","","SPARK","MOMENT","CONNECTION","","","","","","","",""
"Companion Quiet","Do separate quiet activities side by side (reading, sketching, cooking). ","","","BELONG","MEDIUM","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Everyday Ritual ","Choose one daily task to always do together (e.g., morning chai, evening cleanup). ","","","BUILD, CARE","MEDIUM","BALANCE_AND_FAIRNESS","","","","","","","",""
"Play Tag ","One person starts a small playful act (dance, joke, tickle) that the other playfully “returns.” ","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"10-Minute Adventure","Step out for a quick unplanned outing—like watching the sky, grabbing a treat, or walking barefoot. ","","","SPARK, BELONG, GROW","SHORT","PLAY_AND_JOY","","","","","","","",""
"Memory Sparks","Share one joyful moment from your early days that still makes you smile.","","","BELONG","MEDIUM","CONNECTION","","","","","","","",""
"Warm Closure","End with a hug or gentle touch and one line of gratitude: “I loved sharing this space with you.” ","","","CARE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Closing Breath ","Take one final breath together, silently saying “thank you” to the time made.","Finding Our Rhythm Again","","GRACE","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Shoulder Drop ","Take a slow breath, roll shoulders, and let each other visibly relax. ","The Soft Evenings","","GRACE","MOMENT","TRUST_AND_SAFETY","","","","","","","",""
"Warm Light","Dim lights, light a candle, or change the atmosphere to signal, “We’re home now.”","","","BELONG, SELF","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Gratitude Whisper","Whisper one thing you notice and appreciate about how they are tonight.","","","CARE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
" Back-to-Back Rest ","Sit or lie back-to-back, breathing together for 3–5 minutes. ","","","GRACE","MEDIUM","TRUST_AND_SAFETY","","","","","","","",""
"Blanket Cocoon","Sit wrapped under a shared blanket and just rest in warmth, no agenda.","","","SPARK","MEDIUM","CONNECTION","","","","","","","",""
"Whisper Exchange","Take turns whispering something kind or playful into each other’s ear. ","","","BELONG, SPARK","SHORT","CONNECTION","","","","","","","",""
"Memory Kiss ","Share a moment you remember feeling close, then kiss to seal it. ","","","SPARK","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"One-Line Note","Write a small note for your partner to find the next day, with one sentence of affection.","The Soft Evenings","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Morning Hug ","A 10-second hug before leaving the house. ","Little Lights of Love","","CARE","MOMENT","INTIMACY","","","","","","","",""
"One Good Thing","Share one thing you’re looking forward to today.","","","BELONG","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Shared Sip","Have your first sip of tea or coffee together, even briefly.","","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Tiny Text","Send a message that says “Thinking of you” or an inside joke. ","","","CARE, SPARK","MOMENT","CONNECTION","","","","","","","",""
"Emoji Language","Use just emojis to express how you feel mid-day. ","","","SPARK","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Shared Photo Drop","Share a small photo that made you smile.","","","BELONG","SHORT","CONNECTION","","","","","","","",""
"Daily Check-In","“How’s your energy, mood, stress, closeness?” ","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"One Gratitude","End with one thing you loved about the day or each other.","","","GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Inside Word","Create a word only you both use that means “I love you.”","","","BELONG","SHORT","PLAY_AND_JOY","","","","","","","",""
"Quiet Kiss","A simple, wordless kiss before bed—non-negotiable.","","","GRACE","MOMENT","INTIMACY","","","","","","","",""
"Sunday Gratitude","Share three small moments from the week you loved. ","","","BELONG","MEDIUM","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Candle Night ","Have dinner or tea by candlelight, no screens.","","","CARE","MEDIUM","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Song for Us","Dedicate one song each week that feels “us.”","Little Lights of Love","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Question of the Day","Ask one fun or curious question each morning. ","Everyday Play & Wonder","","SPARK, BELONG, GROW","SHORT","UNDERSTANDING","","","","","","","",""
"Silly Selfie","Send each other your goofiest face of the day. ","","","SPARK","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Secret Signal","Create a secret gesture or phrase that means “I’m thinking of you.”","","","BELONG","MOMENT","CONNECTION","","","","","","","",""
"Pocket Note ","Hide a sweet note for your partner to find. ","","","CARE","SHORT","CONNECTION","","","","","","","",""
"Mystery Snack","Buy a surprise treat for the other during errands. ","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Whisper Challenge","Whisper something flirty and see if they can guess.","","","SPARK","SHORT","INTIMACY","","","","","","","",""
"Dance Break","Randomly play a song and dance wherever you are. ","","","SPARK","SHORT","PLAY_AND_JOY","","","","","","","",""
"Two-Minute Game","Quick game like “Would You Rather?” or “Name 3 things.” ","","","BELONG","SHORT","CONNECTION","","","","","","","",""
"Compliment Ping-Pong","Exchange compliments back and forth until you both laugh.","","","CARE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Playful Touch ","Gentle tickle, playful chase, or quick touch-and-go. ","","","FIRE","SHORT","INTIMACY","","","","","","","",""
"Eyes Closed Snack","Feed each other something while eyes closed—guess what it is. ","","","SPARK","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Cozy Tangle","Sit tangled up under a blanket while watching something funny.","","","CARE","MEDIUM","INTIMACY","","","","","","","",""
"“Today I Loved…”","Name one moment from the day that felt loving.","","","BELONG","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Shared Smile","Just lie facing each other, smiling silently. ","","","GRACE, BELONG","MOMENT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Goodnight Code ","Create your own quirky goodnight phrase or emoji exchange.","Everyday Play & Wonder","","BELONG","SHORT","CONNECTION","","","","","","","",""
"What’s Changing in Me","Each shares one way they’ve changed recently and what sparked it. ","Seeds of Growth","","SELF, GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"Mirror Moments","Reflect what growth you see in your partner lately.","","","BELONG","MEDIUM","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Inner Compass Check","Discuss what’s feeling aligned or misaligned in life right now.","","","GROW","LONG","UNDERSTANDING, SUPPORT","","","","","","","",""
"Book or Podcast Exchange ","Pick something meaningful for the other to explore. ","","","GROW","FLEXIBLE","GROWTH","","","","","","","",""
"Curiosity Hour","Take turns asking deep or fun “why” questions. ","","","GROW","MEDIUM","UNDERSTANDING","","","","","","","",""
"Teach Me Something","Each teaches something small they love doing.","","","SELF, GROW","SHORT","CONNECTION, PLAY_AND_JOY","","","","","","","",""
"Shared Values Map","Identify your top 3 relationship values. ","","","GROW","LONG","CONNECTION","","","","","","","",""
"Growth Note","Write one line celebrating a recent growth moment you’ve seen in each other. ","","","CARE, GROW","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Closing Reflection","One sentence each: “I’m grateful for…”","Seeds of Growth","","SELF, BELONG","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Weekly Reflection Cards","Each picks a reflection prompt (e.g., “What challenged me this week?”). ","Becoming Us","","SELF","MEDIUM","UNDERSTANDING","","","","","","","",""
"Shadow & Light","Each shares one part they’re proud of and one they’re working on.","","","GROW","MEDIUM","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Inspire Me Story","Share something that recently inspired you. ","","","BELONG, GROW","MEDIUM","GROWTH","","","","","","","",""
"Hero Compliment ","Name one strength in your partner you admire.","","","GROW","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"“New Practices” Brainstorm","Dream up 1–2 new habits you’d like to try together. ","","","GROW","LONG","CONNECTION","","","","","","","",""
"Naming the Season","Define what season your relationship feels like now.","","","GRACE","SHORT","UNDERSTANDING","","","","","","","",""
"“I See You” Words","Tell each other one thing you newly see.","","","BELONG","SHORT","UNDERSTANDING","","","","","","","",""
"Gentle Touch Scan","Slowly notice sensations in your body without judgment.","Coming Home to Me","","SELF","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Heart Journal","Write freely for 10 minutes about how your heart feels today. ","","","SELF","MEDIUM","UNDERSTANDING","","","","","","","",""
"Body Message","Ask your body: “What do you need from me today?” ","","","GRACE","MEDIUM","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Emotional Weather Check ","Name the “weather” of your inner state (sunny, foggy, etc.).","","","SELF, GROW","SHORT","GROWTH","","","","","","","",""
"Self-Compassion Mirror ","Look into the mirror and say, “You’ve done enough today.” ","","","GRACE","SHORT","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"Create a Comfort Ritual","Prepare tea, stretch, or play soothing music intentionally. ","","","SELF","MEDIUM","SUPPORT","","","","","","","",""
"Kindness Letter","Write a note of appreciation to yourself.","","","GROW","MEDIUM","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Movement Flow","Move your body however feels good — stretch, dance, sway. ","","","SELF","MEDIUM","PLAY_AND_JOY","","","","","","","",""
"Nature Reset","Step outside and breathe deeply, just noticing the world. ","","","GROW","LONG","SPACE","","","","","","","",""
"Micro Joy Hunt","Note 3 tiny moments that bring joy today.","","","SELF","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"End-of-Day Gratitude","Write one kind sentence to yourself before bed. ","","","GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Self-Anchor Object","Keep a small token (stone, bracelet) as reminder of your worth. ","","","SELF","SHORT","SUPPORT","","","","","","","",""
"Mantra Whisper","Whisper to yourself: “I am enough.”","Coming Home to Me","","GRACE","MOMENT","ACCEPTANCE_AND_FORGIVENESS","","","","","","","",""
"“My Energy Today” Check-In","Rate your energy from 1–10 and share what you need. ","Space to Breathe","","SELF","SHORT","COMMUNICATION, SUPPORT","","","","","","","",""
"Space-with-Love Note","Leave a note like, “Taking some quiet time, with love.” ","","","GRACE","EXTENDED","SPACE","","","","","","","",""
"Boundary Affirmation ","Say: “My need for space doesn’t mean disconnection.”","","","SELF","SHORT","TRUST_AND_SAFETY","","","","","","","",""
"Solo Nourishment Hour","Spend time doing what feels deeply restorative. ","","","SELF","FLEXIBLE","SPACE, SUPPORT","","","","","","","",""
"Creative Flow","Do something expressive: paint, write, cook, play. ","","","GROW","LONG","GROWTH","","","","","","","",""
"Digital Quiet","Take 30 mins off all devices, alone.","","","GRACE","SHORT","BALANCE_AND_FAIRNESS","","","","","","","",""
"Quiet Tea Together","Sit and share tea after solitude. ","","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Weekly Space Ritual","Each chooses one solo time block weekly. ","","","SELF","FLEXIBLE","SPACE","","","","","","","",""
"Together-Apart Plan","Create a shared schedule that respects personal time. ","Space to Breathe","","SELF","LONG","SPACE, TRUST_AND_SAFETY","","","","","","","",""
"Gratitude Glance","Sit across each other and take 1 minute naming 3 things you’re grateful for ","Radiant Together","","GRACE","SHORT","GRATITUDE_AND_APPRECIATION, CONNECTION","","","","","","","",""
"Silent Thank You","Hold hands in silence, exchanging gratitude through presence ","","","GRACE, BELONG","MOMENT","PRESENCE_AND_QUALITY_TIME, TRUST_AND_SAFETY","","","","","","","",""
"Memory Warm-Up","Each recalls one recent sweet or funny moment ","","","SPARK","","GRATITUDE_AND_APPRECIATION, PLAY_AND_JOY","","","","","","","",""
"Our Signature Moments","Name 3 “only us” memories that define your bond","","","BELONG","","GRATITUDE_AND_APPRECIATION, CONNECTION","","","","","","","",""
"Mini Celebration Dance ","Choose a song that feels like “us” and dance freely","","","SPARK","","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"Compliment Burst ","Say 3 spontaneous compliments about each other","","","CARE","","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Love Confetti ","Write appreciation notes and toss them playfully","","","GRACE, SPARK","SHORT","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"Create a Toast ","Make a short toast to each other or your shared life","","","GRACE","SHORT","CONNECTION","","","","","","","",""
"Weekly Glow Check ","End each week with one small “thank you” moment","","","CARE","","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Love Jar","Start a jar where you drop appreciation notes","","","GRACE","FLEXIBLE","CONNECTION","","","","","","","",""
"Tiny Spark Habit ","Choose a simple daily gesture that says “I see you”","Radiant Together","","SPARK","","CONNECTION, PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Circle of Thanks","Name 5 things you’re proud of facing together ","Sacred Celebration","","BUILD, GRACE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Shared Reflection Journal ","Write together about this phase of your love","","","GROW","","GROWTH, UNDERSTANDING","","","","","","","",""
"You Are My Gift","Take turns saying what the other brings into your life ","","","GRACE","SHORT","CONNECTION","","","","","","","",""
"Mirror Moment ","Look into each other’s eyes for 60 seconds and end with “I’m glad it’s you” ","","","CARE","","CONNECTION","","","","","","","",""
"Sacred Meal","Share a meal slowly, savoring each bite in gratitude","","","GRACE","MEDIUM","PRESENCE_AND_QUALITY_TIME, CONNECTION","","","","","","","",""
"Plant of Love ","Plant a tree or flower as a symbol of growth","","","GROW, GRACE","LONG","GROWTH, PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Morning Gratitude Whisper","Begin each day with one “thank you”","","","GRACE","MOMENT","CONNECTION","","","","","","","",""
"Monthly Celebration Day ","Choose a day each month for mini rituals of love ","","","SPARK, GRACE","EXTENDED","PLAY_AND_JOY, CONNECTION","","","","","","","",""